"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2021","1.1802","1.1867","1.1878","1.1806","154.03K","-0.51%"
"10/21/2021","1.1863","1.1865","1.1875","1.1840","138.04K","0.00%"
"10/20/2021","1.1863","1.1859","1.1874","1.1818","132.24K","0.08%"
"10/19/2021","1.1853","1.1824","1.1873","1.1813","124.82K","0.29%"
"10/18/2021","1.1819","1.1853","1.1872","1.1813","151.61K","-0.27%"
"10/15/2021","1.1851","1.1791","1.1874","1.1781","154.91K","0.53%"
"10/14/2021","1.1789","1.1781","1.1830","1.1775","112.42K","0.07%"
"10/13/2021","1.1781","1.1786","1.1804","1.1766","184.28K","0.00%"
"10/12/2021","1.1781","1.1767","1.1804","1.1739","126.46K","0.11%"
"10/11/2021","1.1768","1.1767","1.1806","1.1757","134.38K","0.04%"
"10/08/2021","1.1763","1.1788","1.1796","1.1759","127.13K","-0.20%"
"10/07/2021","1.1786","1.1753","1.1801","1.1731","141.64K","0.33%"
"10/06/2021","1.1747","1.1748","1.1775","1.1726","165.92K","-0.02%"
"10/05/2021","1.1749","1.1711","1.1762","1.1701","174.62K","0.34%"
"10/04/2021","1.1709","1.1683","1.1723","1.1662","128.58K","0.26%"
"10/01/2021","1.1679","1.1633","1.1705","1.1594","135.79K","0.43%"
"09/30/2021","1.1629","1.1579","1.1659","1.1568","175.86K","0.49%"
"09/29/2021","1.1572","1.1586","1.1612","1.1548","159.13K","-0.09%"
"09/28/2021","1.1582","1.1711","1.1731","1.1571","176.98K","-1.08%"
"09/27/2021","1.1709","1.1677","1.1729","1.1648","132.64K","0.35%"
"09/24/2021","1.1668","1.1689","1.1700","1.1658","142.39K","-0.13%"
"09/23/2021","1.1683","1.1659","1.1716","1.1640","155.83K","0.24%"
"09/22/2021","1.1655","1.1648","1.1665","1.1608","166.24K","0.07%"
"09/21/2021","1.1647","1.1647","1.1680","1.1633","147.93K","0.02%"
"09/20/2021","1.1645","1.1712","1.1726","1.1633","141.85K","-0.61%"
"09/17/2021","1.1716","1.1724","1.1736","1.1690","129.56K","-0.01%"
"09/16/2021","1.1717","1.1711","1.1766","1.1697","172.14K","0.09%"
"09/15/2021","1.1707","1.1698","1.1726","1.1676","139.27K","0.09%"
"09/14/2021","1.1697","1.1714","1.1752","1.1691","150.01K","-0.15%"
"09/13/2021","1.1714","1.1716","1.1752","1.1705","118.73K","0.03%"
"09/10/2021","1.1711","1.1701","1.1739","1.1695","153.72K","0.11%"
"09/09/2021","1.1698","1.1654","1.1733","1.1641","138.51K","0.40%"
"09/08/2021","1.1651","1.1645","1.1659","1.1622","169.96K","0.08%"
"09/07/2021","1.1642","1.1657","1.1665","1.1608","162.89K","-0.09%"
"09/06/2021","1.1653","1.1667","1.1675","1.1645","105.42K","-0.12%"
"09/03/2021","1.1667","1.1648","1.1681","1.1632","160.70K","0.20%"
"09/02/2021","1.1644","1.1629","1.1661","1.1625","132.28K","0.14%"
"09/01/2021","1.1628","1.1646","1.1665","1.1622","154.04K","-0.15%"
"08/31/2021","1.1645","1.1665","1.1676","1.1626","143.56K","-0.13%"
"08/30/2021","1.1660","1.1667","1.1674","1.1651","97.65K","-0.01%"
"08/27/2021","1.1661","1.1659","1.1703","1.1641","179.62K","0.05%"
"08/26/2021","1.1655","1.1690","1.1698","1.1648","144.68K","-0.27%"
"08/25/2021","1.1686","1.1680","1.1697","1.1667","132.46K","0.09%"
"08/24/2021","1.1676","1.1680","1.1708","1.1662","93.44K","-0.01%"
"08/23/2021","1.1677","1.1658","1.1696","1.1635","113.24K","0.28%"
"08/20/2021","1.1644","1.1684","1.1691","1.1639","139.97K","-0.29%"
"08/19/2021","1.1678","1.1747","1.1759","1.1674","160.37K","-0.55%"
"08/18/2021","1.1742","1.1733","1.1759","1.1717","137.36K","0.09%"
"08/17/2021","1.1731","1.1759","1.1763","1.1712","129.34K","-0.21%"
"08/16/2021","1.1756","1.1757","1.1789","1.1727","135.67K","0.03%"
"08/13/2021","1.1753","1.1773","1.1781","1.1738","119.26K","-0.13%"
"08/12/2021","1.1768","1.1818","1.1823","1.1757","139.05K","-0.40%"
"08/11/2021","1.1815","1.1813","1.1822","1.1786","127.72K","0.05%"
"08/10/2021","1.1809","1.1796","1.1836","1.1790","215.08K","0.15%"
"08/09/2021","1.1791","1.1801","1.1819","1.1782","135.90K","-0.01%"
"08/06/2021","1.1792","1.1771","1.1809","1.1765","125.34K","0.21%"
"08/05/2021","1.1767","1.1733","1.1780","1.1724","149.88K","0.30%"
"08/04/2021","1.1732","1.1730","1.1761","1.1718","140.25K","0.03%"
"08/03/2021","1.1728","1.1697","1.1732","1.1684","125.54K","0.30%"
"08/02/2021","1.1693","1.1712","1.1724","1.1683","107.20K","-0.14%"
"07/30/2021","1.1709","1.1746","1.1753","1.1710","135.75K","-0.26%"
"07/29/2021","1.1740","1.1735","1.1766","1.1731","162.88K","0.07%"
"07/28/2021","1.1732","1.1744","1.1768","1.1731","179.21K","-0.07%"
